Transaction ID,Date,Description,Amount
L60RJJIW,2025-01-25,Restaurant dinner,78.81
PAXQHJ0O,2025-01-18,Spotify subscription,78.95
ICOB610O,2025-01-19,Fast food order,53.22
IIHO4LOR,2025-02-24,Gas station refill,254.38
H49QNA2H,2025-01-21,Movie tickets,42.74
4N8EMB57,2025-02-17,Movie tickets,149.07
UAEO7N93,2025-01-22,Fast food order,240.32
DJC4C7BT,2025-02-27,Fast food order,184.32
3HQL8GBK,2025-03-11,Grocery shopping,133.98
I7X66S45,2025-01-22,Mall shopping,162.96
RW13ZNXV,2025-03-03,Netflix subscription,226.13
HBPPCVBQ,2025-01-28,Spotify subscription,165.55
K6ADTUOX,2025-02-17,Restaurant dinner,260.97
W8BZ25MM,2025-01-18,Gym membership,138.68
07COVL00,2025-02-19,Spotify subscription,235.88
BHWUIZIB,2025-02-21,Train ticket,226.61
T4NFA0NE,2025-01-25,Mall shopping,17.21
FF12BFVZ,2025-01-16,Train ticket,175.9
QNFFZT00,2025-02-03,Starbucks coffee,57.95
2Q84H31T,2025-02-05,Train ticket,230.38
2V0WKA7F,2025-02-14,Grocery shopping,255.3
7YNOOYW7,2025-02-22,Amazon purchase,98.5
7COR7SYC,2025-02-15,Gym membership,29.2
8NPYLMXN,2025-02-01,Gas station refill,180.4
A0KYNNAJ,2025-01-31,Gym membership,99.7
EE2DFBUC,2025-01-25,Electric bill payment,241.03
DWRP1NLJ,2025-01-12,Uber ride,263.33
JIRN1N8C,2025-02-01,Movie tickets,63.22
VVYJDF6V,2025-02-18,Train ticket,288.28
ZOHURTS0,2025-01-27,Netflix subscription,123.32
JYT9BLY0,2025-03-04,Netflix subscription,25.74
84E12JAL,2025-01-26,Uber ride,195.15
ZYLFO9Q7,2025-02-06,Gas station refill,149.65
GRRZLKAX,2025-02-16,Fast food order,37.07
A1VSLJ6S,2025-01-25,Gas station refill,137.09
VFW6IYHQ,2025-01-29,Restaurant dinner,54.59
VG6RB044,2025-01-31,Electric bill payment,147.72
KOM6RG2S,2025-03-09,Grocery shopping,156.63
0ND4FGS4,2025-02-18,Starbucks coffee,159.61
DNWHYCAY,2025-01-13,Electric bill payment,235.68
QM1S48IW,2025-02-28,Mall shopping,73.92
WL19MTNE,2025-03-12,Gas station refill,206.91
YBYTV6R6,2025-03-06,Spotify subscription,240.04
ZW2ASZ3K,2025-01-23,Uber ride,8.4
2HAN07JE,2025-02-21,Train ticket,174.52
PIP46MXF,2025-01-22,Mall shopping,10.1
FS0ZA3PL,2025-02-07,Mall shopping,69.21
BKFTWEJJ,2025-02-09,Train ticket,152.64
KGLYN7UT,2025-01-25,Starbucks coffee,175.78
VGWN4KAL,2025-02-28,Mall shopping,217.2
