Transaction ID,Date,Description,Amount,Category
KA9EFZIH,2025-02-15,Train ticket,66.24,Transport
6MAVEHZE,2025-01-22,Spotify subscription,107.88,Entertainment
0LDR95CS,2025-02-06,Train ticket,266.5,Transport
2858XC4U,2025-02-03,Spotify subscription,123.82,Entertainment
90I8ZN5O,2025-02-18,Fast food order,8.5,Dining
V8NAD5EH,2025-01-21,Netflix subscription,80.2,Entertainment
R2SWLPG1,2025-02-14,Gas station refill,44.78,Transport
6NMLZ115,2025-01-23,Uber ride,137.83,Transport
4DYV3J26,2025-01-12,Netflix subscription,37.97,Entertainment
C90MPLCL,2025-01-28,Spotify subscription,102.9,Entertainment
DYRG1UUI,2025-02-04,Gas station refill,198.39,Transport
CRZ7GXJR,2025-03-02,Train ticket,269.2,Transport
94E3DE3M,2025-02-27,Gas station refill,264.77,Transport
NLSJ8M6T,2025-02-07,Gym membership,44.27,Health or Fitness
9ZQR6US3,2025-01-24,Fast food order,154.87,Dining
WDPQIUHR,2025-02-06,Gym membership,59.13,Health or Fitness
W9OCMTMK,2025-02-24,Uber ride,78.69,Transport
VP2L97ME,2025-02-13,Electric bill payment,297.17,Insurance
MTI0TG83,2025-03-03,Restaurant dinner,12.34,Dining
BBKVAJKO,2025-02-22,Fast food order,141.66,Dining
ACLJVJGH,2025-01-17,Gas station refill,248.55,Transport
4LES3LAY,2025-02-26,Gym membership,291.64,Health or Fitness
RBS9J5XY,2025-01-16,Electric bill payment,229.06,Insurance
M60HNWEI,2025-02-22,Amazon purchase,83.83,Shopping
YQRPZ1D4,2025-02-24,Netflix subscription,78.21,Entertainment
XCCFBGSE,2025-02-26,Mall shopping,212.97,Shopping
49MCJH5Q,2025-02-26,Gym membership,236.35,Health or Fitness
EPRWQI1Q,2025-03-02,Train ticket,104.76,Transport
TIO93X15,2025-01-19,Gas station refill,204.39,Transport
P7G1DSM8,2025-03-02,Spotify subscription,251.16,Entertainment
5GT97Y64,2025-02-26,Mall shopping,11.64,Shopping
4HQ1AAAT,2025-02-13,Movie tickets,20.43,Entertainment
4EZCH5ZM,2025-03-10,Grocery shopping,244.14,Groceries
XLG6XITU,2025-01-20,Spotify subscription,86.0,Entertainment
WW75TN9H,2025-01-12,Spotify subscription,292.81,Entertainment
KD655PXD,2025-03-11,Electric bill payment,75.89,Insurance
FZ3OEZ6Z,2025-01-25,Starbucks coffee,26.34,Dining
YEFMVFX8,2025-01-22,Starbucks coffee,83.84,Dining
TXG507N4,2025-02-07,Train ticket,238.18,Transport
DIR1XL7M,2025-01-23,Fast food order,104.91,Dining
Y84919IW,2025-01-12,Spotify subscription,197.14,Entertainment
4MCE6V79,2025-02-20,Fast food order,87.67,Dining
3YOM6HCH,2025-03-09,Uber ride,101.15,Transport
N053DUQC,2025-02-27,Netflix subscription,192.78,Entertainment
A6CTKOTO,2025-02-15,Gym membership,237.13,Health or Fitness
KKAIUM0H,2025-03-03,Fast food order,119.14,Dining
SLPJ0PUB,2025-01-14,Uber ride,275.68,Transport
6ZXZ3VLO,2025-03-09,Uber ride,68.41,Transport
PGN714Q1,2025-02-07,Spotify subscription,95.01,Entertainment
W8F66UCG,2025-02-26,Gas station refill,116.11,Transport
